id,ans,,
1,virt-install,,
2,qemu-kvm,,
3,libvirt,,
4,start,libvirtd,
5,vmx,,
6,/proc/cpuinfo,,
7,svm,,
8,/proc/cpuinfo,,
9,usermod -aG libvirt,,
10,add,type,bridge
11,add,type,ethernet
12,master,bridge1,
13,bridge1,ipv4.method,auto
14,down,em1,
15,up,bridge1,
16,qemu-img,,
17,-f qcow2,,
18,--bootproto dhcp,--device eth0,
19,sshd,,
20,--disk path=/var/lib/libvirt/images/hw4.qcow2,,
21,"--graphics spice,password=pwd",,
22,--location /var/lib/libvirt/images/CentOS-7-x86_64-Minimal-1708.iso,,
23,--network bridge=nm-bridge1,,
24,--initrd-inject=/root/hw4-anaconda.cfg,,
25,"--extra-args=""ks=file:/hw4-anaconda.cfg""",,
26,list ,,
27,destroy,,
28,shutdown,,
29,undefine,,
30,domifstat,,
31,detach-interface,,
32,edit,,
33,console,,
